concept,comparisons,agreements,median_absolute_difference,agreement_rate
AverageNumberEmployeesDuringPeriod,7720,3883,1.0,0.502979274611399
CashBankOnHand,22649,8696,112406.0,0.3839463110954126
Creditors,945375,209244,23358.0,0.22133439111463704
CurrentAssets,16657,8313,53.0,0.4990694602869664
Debtors,1363539,1230885,0.0,0.9027134537405971
Equity,17768225,16701860,0.0,0.9399847199143415
NetCurrentAssetsLiabilities,20103,8091,157281.0,0.4024772422026563
PropertyPlantEquipment,11957928,11188366,0.0,0.935644201905213
TotalAssetsLessCurrentLiabilities,21923,8354,281197.0,0.3810609861788989
